Linkage,Genetic_Distances(cM),Marker_ID,1,2,3,4,5,6,7,9,11,12,13,15,16,17,18,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,84,85,86,87,88,89,90,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,147,148,149,150,151,152,153,154,156,157,158,159,160,161,162,163,164,165,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216
lg1,8.72,CATG_nn_np_2665,--,nn,np,np,--,np,np,nn,nn,nn,np,nn,np,np,np,nn,nn,nn,--,np,np,np,nn,np,nn,np,np,np,np,nn,nn,nn,np,np,np,np,nn,nn,nn,np,nn,np,--,nn,nn,nn,nn,nn,--,nn,--,nn,--,--,np,np,nn,nn,nn,np,np,np,np,--,--,np,--,nn,np,--,np,nn,nn,--,np,--,np,np,--,--,np,np,nn,np,--,nn,--,np,--,np,--,nn,nn,nn,--,--,nn,nn,np,np,nn,nn,np,np,--,np,--,nn,np,nn,np,np,np,nn,np,nn,np,--,--,--,np,np,np,--,np,np,nn,--,np,nn,nn,nn,np,np,--,np,nn,nn,--,np,np,np,--,nn,--,nn,np,nn,--,nn,np,nn,nn,nn,nn,np,np,nn,np,np,np,np,np,--,np,--,nn,np,nn,nn,nn,np,nn,nn,--,np,np,nn,nn,nn,--,--,nn,np,--,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,np,np,nn,np,np,nn,np,nn,nn
lg1,9,AATTC_nn_np_1078,--,nn,np,np,np,np,np,nn,nn,nn,np,--,np,np,np,nn,nn,--,nn,np,np,--,nn,np,nn,np,np,np,np,nn,nn,nn,np,np,np,np,nn,nn,nn,np,nn,--,nn,nn,--,nn,nn,nn,nn,np,--,nn,np,--,np,--,nn,nn,nn,np,np,np,np,--,np,np,np,nn,np,nn,--,nn,nn,--,np,--,np,np,nn,nn,np,np,--,np,--,nn,--,np,nn,np,--,nn,nn,nn,nn,nn,nn,nn,--,np,nn,--,np,np,nn,np,nn,nn,np,nn,np,np,np,nn,np,--,np,nn,--,--,np,np,np,nn,np,np,--,--,np,--,nn,--,np,np,np,np,nn,nn,nn,np,np,np,nn,nn,--,nn,np,nn,np,nn,np,--,nn,nn,nn,np,np,--,np,np,np,np,np,nn,np,nn,nn,np,nn,nn,nn,np,--,nn,nn,np,np,nn,nn,nn,nn,np,nn,np,--,--,nn,nn,nn,np,--,nn,--,nn,nn,np,--,nn,np,np,nn,np,nn,nn
lg1,10,AATTC_nn_np_4745,nn,--,nn,nn,--,np,np,nn,nn,nn,np,nn,np,np,np,nn,--,nn,nn,np,np,np,nn,np,nn,np,np,np,np,nn,nn,nn,np,np,np,np,nn,nn,nn,np,nn,np,nn,nn,nn,nn,nn,nn,nn,nn,np,nn,np,nn,np,np,nn,nn,nn,--,np,np,np,nn,np,np,np,nn,np,nn,np,nn,nn,nn,np,nn,np,np,nn,nn,np,np,nn,nn,nn,nn,nn,np,nn,np,nn,nn,nn,nn,nn,nn,nn,nn,np,np,nn,nn,np,np,nn,np,nn,nn,np,nn,np,np,np,nn,np,nn,np,nn,np,np,np,np,np,nn,np,np,nn,nn,np,nn,nn,nn,np,np,np,np,nn,nn,nn,np,np,np,nn,nn,nn,nn,np,nn,nn,nn,np,nn,nn,nn,nn,np,np,nn,np,np,np,np,np,nn,np,nn,nn,np,nn,nn,nn,np,nn,nn,nn,np,np,nn,nn,nn,nn,np,nn,np,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,np,np,nn,np,np,nn,np,nn,nn
lg1,10,CATG_nn_np_2744,--,nn,nn,--,--,np,--,nn,nn,nn,np,--,--,--,np,nn,nn,nn,nn,np,np,np,nn,np,nn,np,np,nn,--,nn,nn,nn,np,--,np,np,--,--,nn,np,--,np,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,np,nn,np,np,nn,nn,nn,np,np,np,np,nn,np,np,np,nn,np,nn,np,nn,nn,nn,np,nn,np,np,nn,--,np,np,nn,np,nn,nn,nn,np,nn,np,nn,nn,nn,nn,nn,nn,nn,nn,np,np,--,nn,np,--,nn,np,nn,nn,np,nn,np,np,np,nn,np,nn,np,nn,np,np,np,np,np,nn,np,np,nn,--,np,nn,nn,nn,np,np,np,np,nn,nn,nn,np,np,np,nn,nn,nn,nn,np,--,np,nn,np,nn,--,nn,nn,np,np,--,np,--,np,np,np,nn,np,np,--,np,nn,nn,nn,np,nn,nn,nn,np,np,nn,nn,nn,nn,np,nn,np,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,np,np,nn,np,np,nn,np,nn,nn
lg1,10,AATTC_nn_np_3488,nn,nn,nn,--,nn,np,np,nn,nn,nn,np,nn,np,np,np,nn,nn,nn,nn,np,np,np,nn,np,nn,np,np,np,np,nn,nn,nn,np,np,np,np,nn,nn,--,np,nn,np,nn,nn,nn,nn,nn,nn,nn,nn,--,nn,np,nn,np,np,nn,nn,nn,np,np,np,np,nn,np,np,np,--,np,nn,np,nn,--,nn,np,nn,np,np,nn,--,np,np,nn,--,nn,--,nn,--,nn,np,nn,nn,nn,nn,nn,nn,nn,nn,np,np,nn,nn,np,np,nn,np,nn,nn,np,nn,np,np,np,nn,np,nn,np,nn,np,np,np,np,np,nn,np,np,nn,nn,np,nn,nn,nn,np,np,np,np,nn,nn,nn,np,np,np,nn,nn,nn,nn,np,--,np,nn,np,nn,nn,nn,nn,np,np,nn,np,np,np,np,np,nn,np,nn,nn,np,nn,nn,nn,np,nn,--,nn,np,np,nn,nn,nn,nn,np,nn,np,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,--,np,np,nn,np,np,nn,np,nn,nn
lg1,10,AATTC_nn_np_2440,--,nn,nn,--,nn,np,np,nn,nn,nn,np,--,--,np,np,nn,nn,nn,nn,--,np,np,nn,np,nn,np,np,np,--,nn,nn,nn,np,nn,np,np,nn,nn,nn,np,nn,np,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,np,nn,np,nn,nn,nn,nn,np,np,np,np,--,np,np,np,nn,np,nn,np,nn,nn,nn,np,nn,np,np,nn,--,np,np,nn,np,nn,nn,nn,np,nn,np,nn,nn,nn,nn,nn,nn,nn,nn,np,np,nn,nn,np,np,nn,np,nn,nn,np,nn,np,np,np,nn,np,nn,np,nn,np,np,np,np,np,nn,np,np,nn,nn,np,nn,nn,nn,np,np,np,np,nn,nn,nn,np,np,np,nn,nn,nn,nn,np,--,np,nn,np,nn,nn,nn,nn,np,np,nn,np,np,np,np,np,nn,np,nn,nn,np,nn,nn,nn,np,nn,nn,nn,np,np,nn,nn,nn,nn,np,nn,np,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,np,np,nn,np,np,nn,np,nn,nn
lg1,10.5,CATG_nn_np_2292,nn,np,nn,nn,--,--,np,nn,nn,nn,np,nn,np,np,np,nn,--,--,nn,np,np,np,--,np,nn,np,np,np,np,nn,nn,nn,np,np,np,np,nn,nn,nn,np,nn,np,nn,--,nn,nn,--,--,nn,nn,nn,--,np,nn,np,np,nn,nn,--,np,np,np,np,--,--,np,np,nn,np,nn,--,nn,nn,--,np,--,np,np,np,--,np,np,--,--,--,--,--,np,nn,np,nn,nn,nn,nn,--,--,nn,--,np,np,nn,nn,np,np,nn,np,--,nn,np,--,np,np,np,--,np,--,np,--,--,np,--,np,np,--,np,--,nn,--,np,nn,nn,--,np,--,np,np,--,--,nn,np,np,--,--,nn,--,nn,--,--,nn,--,np,nn,--,nn,--,np,np,--,np,np,--,np,np,nn,np,--,nn,np,nn,nn,nn,np,nn,nn,--,--,np,nn,nn,--,nn,--,--,np,nn,nn,nn,nn,nn,nn,nn,nn,--,nn,nn,np,np,--,np,np,nn,np,nn,nn
lg1,10.5,CATG_nn_np_4115,nn,nn,nn,nn,nn,np,np,--,nn,nn,np,nn,np,--,np,nn,nn,--,nn,np,np,np,nn,np,nn,np,np,np,np,nn,nn,nn,np,np,np,np,nn,nn,--,np,nn,np,nn,nn,nn,nn,nn,nn,nn,nn,nn,--,np,nn,np,np,nn,nn,--,np,np,np,np,nn,np,--,np,nn,np,nn,np,nn,nn,nn,np,nn,np,np,np,nn,np,np,nn,np,nn,nn,nn,np,nn,np,nn,nn,nn,nn,nn,nn,np,nn,np,np,nn,nn,np,np,--,np,nn,nn,np,nn,np,np,np,nn,np,--,np,nn,np,np,np,np,np,nn,np,np,nn,nn,np,nn,nn,nn,np,np,np,np,--,nn,nn,np,np,np,nn,nn,nn,nn,np,nn,np,nn,np,nn,nn,nn,nn,np,np,nn,np,np,np,np,np,nn,np,nn,nn,np,nn,nn,nn,np,nn,nn,nn,np,np,nn,nn,nn,nn,np,nn,np,--,nn,nn,nn,nn,--,nn,nn,nn,nn,nn,np,np,nn,np,np,nn,np,nn,nn
lg1,10.75,AATTC_nn_np_1433,--,--,--,--,--,np,np,nn,--,nn,np,--,--,np,np,--,nn,--,nn,np,np,np,--,np,nn,np,--,np,np,nn,nn,nn,np,--,np,np,nn,--,nn,np,nn,np,nn,nn,nn,nn,nn,nn,nn,nn,--,nn,np,nn,np,np,nn,nn,nn,np,np,np,np,nn,np,np,np,--,np,nn,np,nn,nn,nn,np,--,np,np,np,np,np,np,nn,np,nn,nn,nn,np,nn,np,nn,nn,nn,nn,nn,--,nn,nn,np,--,--,nn,np,np,nn,np,nn,nn,np,nn,np,np,np,nn,np,nn,np,nn,np,np,np,np,np,nn,np,np,nn,nn,np,nn,nn,--,np,np,np,np,nn,nn,nn,--,np,np,nn,nn,--,nn,np,--,--,nn,np,--,nn,--,--,np,np,nn,np,np,np,np,np,nn,np,nn,nn,np,nn,nn,nn,np,nn,nn,nn,np,np,nn,nn,nn,nn,np,nn,np,nn,nn,nn,nn,nn,nn,nn,--,nn,nn,nn,np,np,nn,np,np,nn,np,nn,nn
lg1,10.99,AATTC_nn_np_4311,nn,nn,nn,nn,nn,np,np,nn,nn,nn,np,nn,nn,np,np,nn,nn,nn,nn,np,np,np,nn,np,nn,np,np,np,np,nn,nn,nn,np,np,np,np,nn,nn,nn,np,nn,np,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,np,nn,np,np,nn,nn,nn,np,np,np,np,nn,np,np,np,nn,np,nn,np,nn,nn,nn,np,nn,np,np,np,nn,np,np,nn,np,nn,nn,nn,np,nn,np,nn,nn,nn,nn,nn,nn,nn,nn,np,np,nn,nn,np,np,nn,np,nn,nn,np,nn,np,np,np,nn,np,nn,np,nn,np,np,np,np,np,nn,np,np,nn,nn,np,nn,nn,nn,np,np,np,np,nn,nn,nn,np,np,np,nn,nn,nn,nn,np,nn,np,nn,np,nn,nn,nn,nn,np,np,nn,np,np,np,np,np,nn,np,nn,nn,np,nn,nn,nn,np,nn,nn,nn,np,np,nn,nn,nn,nn,np,nn,np,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,np,np,nn,np,np,nn,np,nn,nn
lg1,11.48,CATG_nn_np_1960,--,nn,nn,--,--,np,np,nn,nn,nn,np,--,--,np,np,nn,nn,--,nn,--,np,np,--,np,nn,np,np,--,np,nn,nn,nn,np,nn,np,np,nn,--,nn,np,nn,np,nn,nn,--,nn,nn,--,nn,--,nn,nn,np,nn,np,np,nn,nn,nn,np,np,np,nn,nn,--,np,np,nn,np,nn,np,nn,nn,nn,np,nn,np,np,--,nn,np,np,nn,--,nn,nn,nn,np,--,np,nn,nn,nn,nn,--,--,nn,nn,np,np,nn,nn,np,np,nn,np,nn,nn,np,nn,np,np,np,nn,np,nn,np,--,np,np,--,np,np,nn,np,np,--,--,np,nn,nn,nn,np,np,np,np,nn,nn,nn,np,--,np,nn,nn,--,nn,np,--,np,nn,np,--,nn,nn,nn,np,np,nn,np,np,np,np,np,--,--,--,--,np,nn,nn,nn,np,--,nn,--,np,--,nn,nn,--,--,np,nn,np,nn,nn,nn,nn,nn,nn,nn,nn,nn,--,nn,np,np,nn,np,np,nn,np,nn,nn
lg1,11.48,AATTC_nn_np_3329,nn,nn,nn,nn,nn,np,np,nn,nn,nn,np,nn,--,np,np,nn,nn,nn,nn,np,np,np,nn,np,nn,np,np,np,np,nn,nn,nn,np,np,np,np,nn,--,nn,np,nn,np,nn,nn,--,nn,nn,nn,nn,nn,nn,nn,np,nn,np,np,nn,nn,nn,np,np,np,nn,nn,np,np,np,nn,--,nn,np,nn,--,nn,np,--,np,np,--,nn,np,np,nn,--,nn,nn,nn,np,nn,np,nn,nn,nn,nn,nn,nn,nn,nn,np,np,nn,nn,np,np,nn,np,nn,nn,np,nn,np,np,np,nn,np,nn,np,--,np,np,np,np,np,nn,np,np,nn,nn,np,nn,nn,nn,np,np,np,np,nn,nn,nn,np,np,np,nn,nn,nn,nn,np,nn,np,nn,np,nn,nn,nn,nn,--,np,nn,np,np,np,np,np,nn,np,nn,nn,np,nn,nn,nn,np,nn,nn,nn,np,np,nn,nn,--,nn,np,nn,np,--,nn,nn,nn,--,nn,nn,nn,nn,nn,nn,np,np,nn,np,np,nn,np,nn,nn
lg1,11.48,CATG_nn_np_3043,--,--,nn,--,--,np,np,nn,nn,nn,np,nn,--,np,np,nn,nn,nn,nn,np,np,np,nn,np,nn,np,np,np,np,nn,nn,nn,np,--,np,np,nn,nn,nn,np,nn,np,nn,nn,--,--,nn,nn,nn,nn,nn,nn,np,nn,np,np,nn,nn,nn,np,np,np,nn,nn,np,np,np,nn,--,nn,np,nn,--,nn,np,--,np,np,--,nn,np,np,nn,--,nn,nn,nn,np,nn,np,nn,nn,nn,nn,nn,nn,nn,nn,np,np,nn,nn,np,np,nn,np,nn,nn,np,nn,np,np,np,nn,np,nn,np,nn,np,np,np,np,np,nn,np,np,nn,nn,np,nn,nn,--,np,np,np,np,nn,nn,nn,np,np,np,nn,nn,nn,nn,np,nn,np,nn,np,nn,nn,nn,--,--,np,nn,np,np,np,np,np,nn,np,nn,nn,np,nn,nn,nn,np,nn,nn,nn,np,np,--,nn,nn,nn,np,nn,np,--,nn,nn,nn,--,nn,nn,nn,nn,nn,nn,np,np,nn,np,np,nn,np,nn,nn
lg1,11.48,AATTC_nn_np_1583,--,--,--,--,--,np,np,--,--,--,--,--,--,--,np,--,--,--,--,np,np,np,nn,np,--,np,np,np,np,--,nn,nn,np,np,np,np,nn,--,nn,np,--,np,nn,--,nn,nn,nn,nn,nn,nn,nn,nn,np,--,np,np,nn,nn,--,np,np,np,nn,--,--,np,np,--,np,--,np,nn,nn,--,np,nn,--,np,np,nn,np,np,nn,np,--,--,nn,np,nn,np,nn,nn,nn,nn,nn,nn,nn,--,np,np,nn,nn,np,np,--,np,--,nn,nn,nn,np,np,np,nn,np,--,np,nn,--,np,np,np,np,nn,np,--,--,nn,np,nn,nn,--,np,np,np,np,nn,nn,--,np,--,np,nn,nn,--,nn,np,--,np,nn,np,nn,nn,nn,--,np,np,--,np,np,np,np,np,nn,np,np,nn,np,nn,nn,nn,np,nn,nn,nn,np,np,nn,nn,nn,nn,np,nn,np,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,np,np,nn,np,np,nn,np,nn,nn
lg1,12.47,CATG_nn_np_651,nn,nn,nn,nn,nn,nn,np,nn,nn,nn,--,nn,nn,np,np,nn,nn,nn,nn,np,np,np,nn,np,nn,np,np,np,np,nn,nn,nn,np,--,np,np,nn,nn,nn,np,nn,np,nn,nn,--,nn,nn,nn,nn,nn,nn,--,np,--,nn,np,--,nn,nn,np,np,np,--,--,np,np,np,nn,np,nn,np,nn,--,--,np,--,np,--,nn,--,np,np,nn,np,nn,nn,nn,np,nn,--,nn,nn,nn,nn,--,nn,nn,--,np,--,nn,nn,nn,np,nn,np,nn,nn,np,nn,nn,np,np,nn,np,--,--,nn,np,np,np,np,np,--,nn,--,nn,np,np,--,nn,nn,np,--,--,nn,nn,--,nn,np,np,np,--,--,nn,nn,np,--,np,nn,nn,nn,nn,--,--,np,--,--,np,np,np,np,np,--,--,nn,nn,np,nn,nn,nn,np,--,nn,--,--,--,np,nn,--,nn,--,--,--,nn,nn,nn,nn,nn,nn,nn,--,nn,nn,nn,np,np,nn,np,np,nn,np,nn,nn
